time,pos_x,pos_y
3332.632,0.825833831899519,-0.4485202324278227
3332.683,0.8256027773169493,-0.4303157252104144
3332.734,0.8253806094490939,-0.4121308179930061
3332.785,0.8251495548665242,-0.3939263107755978
3332.836,0.8249273869986687,-0.3757414035581895
3332.886,0.8246963324160991,-0.35753689634078123
3332.938,0.8244741645482436,-0.33935198912337294
3332.989,0.824243109965674,-0.32114748190596465
3333.04,0.8240209420978185,-0.30296257468855636
3333.091,0.8237898875152488,-0.28475806747114807
3333.142,0.8235677196473934,-0.2665731602537398
3333.193,0.8233366650648237,-0.24836865303633163
3333.244,0.8231144971969683,-0.23018374581892476
3333.295,0.8228834426143986,-0.21197923860151788
3333.346,0.8226612747465432,-0.193794331384111
3333.397,0.8224302201639735,-0.17558982416670413
3333.448,0.822208052296118,-0.15740491694929726
3333.499,0.8219769977135484,-0.13920040973189038
3333.55,0.8217548298456929,-0.12101550251448343
3333.601,0.8215237752631233,-0.1028109952970762
3333.652,0.8213016073952678,-0.08462608807966897
3333.703,0.8210705528126981,-0.06642158086226174
3333.754,0.8208483849448427,-0.04823667364485455
3333.805,0.820617330362273,-0.030032166427447365
3333.856,0.8203951624944176,-0.01184725921004013
3333.907,0.8201641079118479,0.0063572480073670985
3333.958,0.8199419400439925,0.02454215522477434
3334.009,0.8197108854614228,0.04274666244218154
3334.06,0.8194887175935673,0.060931569659588715
3334.111,0.8192576630109977,0.07913607687699593
3334.162,0.8190354951431422,0.09732098409440317
3334.213,0.8188044405605726,0.11552549131181039
3334.264,0.8185822726927171,0.13371039852921746
3334.315,0.8183512181101474,0.15191490574662433
3334.366,0.818129050242292,0.1700998129640312
3334.417,0.8178979956597223,0.18830432018143808
3334.468,0.8176758277918669,0.20648922739884495
3334.519,0.8174447732092972,0.22469373461625183
3334.57,0.8172226053414418,0.2428786418336587
3334.621,0.8169915507588721,0.26108314905106644
3334.672,0.8167693828910166,0.27926805626847473
3334.723,0.816538328308447,0.297472563485883
3334.774,0.8163161604405915,0.3156574707032913
3334.825,0.8160851058580219,0.3338619779206996
3334.876,0.8158629379901664,0.3520468851381079
3334.927,0.8156318834075967,0.3702513923555162
3334.978,0.8154097155397413,0.38843629957292447
3335.029,0.8151786609571716,0.40664080679033276
3335.081,0.8149564930893162,0.42482571400774105
3335.131,0.8147254385067465,0.44303022122514935
3335.182,0.814503270638891,0.46121512844255763
3335.233,0.8142722160563214,0.4794196356599659
3335.284,0.8140500481884659,0.4976045428773742
3335.335,0.8138189936058963,0.5158090500947825
3335.386,0.8135968257380408,0.5339939573121908
3335.437,0.8133657711554712,0.5521984645295991
3335.488,0.8131436032876157,0.5703833717470074
3335.539,0.812912548705046,0.5885878789644157
3335.59,0.8126903808371906,0.606772786181824
3335.641,0.8124593262546209,0.6249772933992322
3335.692,0.8122371583867655,0.6431622006166405
3335.743,0.8120061038041958,0.6613667078340488
3335.794,0.8117839359363404,0.6795516150514571
3335.845,0.8115528813537707,0.6977561222688654
3335.896,0.8113307134859152,0.7159410294862737
3335.947,0.8110996589033456,0.734145536703682
3335.998,0.8108774910354901,0.7523304439210903
3336.049,0.8106464364529204,0.7705349511384986
3336.1,0.810424268585065,0.7887198583559069
3336.151,0.8101932140024953,0.8069243655733151
3336.202,0.8099710461346399,0.8251092727907234
3336.253,0.8097399915520702,0.8433137800081317
3336.304,0.8095178236842148,0.86149868722554
3336.355,0.8092867691016451,0.8797031944429483
3336.406,0.8090646012337896,0.8978881016603566
3336.457,0.80883354665122,0.9160926088777649
3336.508,0.8086113787833645,0.9342775160951732
3336.559,0.8083803242007949,0.9524820233125815
3336.61,0.8081581563329394,0.9706669305299898
3336.661,0.8079271017503697,0.988871437747398
3336.712,0.8077049338825143,1.0070563449648051
3336.763,0.8074738792999446,1.0252608521822106
3336.814,0.8072517114320892,1.043445759399616
3336.865,0.8070206568495195,1.0616502666170216
3336.916,0.8067984889816641,1.079835173834427
3336.967,0.8065674343990944,1.0980396810518325
3337.018,0.806345266531239,1.1162245882692379
